# category	subcategory	protein:ID	color	position
Poorly Characterized	Function Unknown	SLI15:GS115_004223-T1	rgb(13,47,59)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	GCN20:GS115_004224-T1	rgb(155,169,182)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PEX1:GS115_004225-T1	rgb(124,80,121)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	APS2:GS115_004226-T1	rgb(107,67,83)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	HYP2:GS115_004227-T1	rgb(151,173,173)	
Poorly Characterized	Function Unknown	AOA69083.1:GS115_004228-T1	rgb(22,56,56)	
Information Storage and Processing	RNA Processing and Modification	AOA68401.1:GS115_004229-T1	rgb(82,139,162)	
Information Storage and Processing	Transcription	RPC17:GS115_004230-T1	rgb(110,177,188)	
Poorly Characterized	Function Unknown	PDP3:GS115_004231-T1	rgb(21,48,66)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AOA69019.1:GS115_004232-T1	rgb(129,75,131)	
Information Storage and Processing	RNA Processing and Modification	TIF3:GS115_004233-T1	rgb(91,143,164)	
Poorly Characterized	Function Unknown	FMP27:GS115_004234-T1	rgb(18,55,65)	
Information Storage and Processing	Transcription	ROX3:GS115_004235-T1	rgb(114,172,192)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL32:GS115_004236-T1	rgb(156,175,179)	
Poorly Characterized	Function Unknown	SUR7:GS115_004237-T1	rgb(18,50,66)	
Poorly Characterized	Function Unknown	YJR056C:GS115_004238-T1	rgb(23,43,65)	
Poorly Characterized	Function Unknown	AOA69214.1:GS115_004239-T1	rgb(22,43,66)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CDC15:GS115_004240-T1	rgb(124,64,114)	
Information Storage and Processing	Transcription	LEM3:GS115_004241-T1	rgb(116,170,194)	
Poorly Characterized	Function Unknown	YNL144C:GS115_004242-T1	rgb(11,53,66)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TIP20:GS115_004243-T1	rgb(96,56,84)	
Poorly Characterized	Function Unknown	ROG1:GS115_004244-T1	rgb(21,50,60)	
Poorly Characterized	Function Unknown	YML020W:GS115_004245-T1	rgb(16,55,69)	
Information Storage and Processing	RNA Processing and Modification	TRM3:GS115_004246-T1	rgb(94,137,161)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RRP42:GS115_004247-T1	rgb(147,178,176)	
Poorly Characterized	Function Unknown	TMA17:GS115_004248-T1	rgb(21,56,67)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRF1:GS115_004249-T1	rgb(146,178,178)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RPN6:GS115_004250-T1	rgb(125,78,122)	
Cellular Processes and Signaling	Nuclear Structure	NUP84:GS115_004251-T1	rgb(164,101,130)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	TEF4:GS115_004254-T1	rgb(132,84,128)	
Information Storage and Processing	RNA Processing and Modification	LRP1:GS115_004255-T1	rgb(95,147,160)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEX3:GS115_004256-T1	rgb(100,65,78)	
Poorly Characterized	Function Unknown	AOA68313.1:GS115_004257-T1	rgb(22,47,67)	
Poorly Characterized	Function Unknown	GIS3:GS115_004258-T1	rgb(19,48,63)	
Metabolism	Lipid Transport and Metabolism	ELO2:GS115_004259-T1	rgb(123,42,8)	
Metabolism	Carbohydrate Transport and Metabolism	STL1:GS115_004260-T1	rgb(236,124,17)	
Poorly Characterized	Function Unknown	AOA69302.1:GS115_004261-T1	rgb(21,52,66)	
Poorly Characterized	Function Unknown	AOA69301.1:GS115_004261-T2	rgb(12,43,59)	
Information Storage and Processing	RNA Processing and Modification	PRP8:GS115_004262-T1	rgb(93,149,162)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CDC23:GS115_004263-T1	rgb(118,65,107)	
Poorly Characterized	Function Unknown	AOA68225.1:GS115_004264-T1	rgb(20,45,66)	
Poorly Characterized	Function Unknown	AOA68964.1:GS115_004265-T1	rgb(23,44,68)	
Poorly Characterized	Function Unknown	MPC3:GS115_004266-T1	rgb(20,53,60)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TIM8:GS115_004267-T1	rgb(98,62,83)	
Information Storage and Processing	RNA Processing and Modification	HSH49:GS115_004268-T1	rgb(89,150,166)	
Poorly Characterized	Function Unknown	AOA69367.1:GS115_004269-T1	rgb(11,56,65)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	AOA68666.1:GS115_004270-T1	rgb(182,128,155)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RPN10:GS115_004271-T1	rgb(133,84,126)	
Poorly Characterized	Function Unknown	CCA39051.1:GS115_004272-T1	rgb(14,51,57)	
Metabolism	Inorganic Ion Transport and Metabolism	MET5:GS115_004273-T1	rgb(134,56,11)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VTI1:GS115_004274-T1	rgb(102,62,73)	
Metabolism	Carbohydrate Transport and Metabolism	YMR196W:GS115_004275-T1	rgb(236,130,16)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PEP4:GS115_004276-T1	rgb(127,80,121)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RAD53:GS115_004277-T1	rgb(182,135,160)	
Poorly Characterized	Function Unknown	PUS7:GS115_004278-T1	rgb(10,49,61)	
Poorly Characterized	Function Unknown	SSP2:GS115_004279-T1	rgb(21,49,68)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	HRK1:GS115_004280-T1	rgb(184,128,154)	
Poorly Characterized	Function Unknown	PAC1:GS115_004281-T1	rgb(11,45,65)	
Metabolism	Energy Production and Conversion	VPH1:GS115_004282-T1	rgb(251,167,49)	
Poorly Characterized	Function Unknown	PTM1:GS115_004283-T1	rgb(22,46,58)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	CYM1:GS115_004284-T1	rgb(126,78,127)	
Poorly Characterized	Function Unknown	AOA69203.1:GS115_004285-T1	rgb(17,45,57)	
Metabolism	Amino Acid Transport and Metabolism	DCR2:GS115_004286-T1	rgb(246,186,45)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TRS33:GS115_004287-T1	rgb(105,67,76)	
Metabolism	Nucleotide Transport and Metabolism	HAM1:GS115_004288-T1	rgb(249,194,62)	
Metabolism	Carbohydrate Transport and Metabolism	STL1:GS115_004289-T1	rgb(241,128,22)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	TRM8:GS115_004290-T1	rgb(152,175,177)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL11:GS115_004291-T1	rgb(148,179,175)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ERD1:GS115_004292-T1	rgb(102,65,75)	
Poorly Characterized	Function Unknown	RRP17:GS115_004293-T1	rgb(19,52,64)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	IRE1:GS115_004294-T1	rgb(181,125,155)	
Information Storage and Processing	Replication, Recombination and Repair	UNG1:GS115_004295-T1	rgb(46,101,127)	
Poorly Characterized	Function Unknown	YML020W:GS115_004296-T1	rgb(13,53,62)	
Poorly Characterized	Function Unknown	GS115_004297-T1:GS115_004297-T1	rgb(11,50,63)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	YHC3:GS115_004298-T1	rgb(95,69,76)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	MON1:GS115_004299-T1	rgb(101,69,71)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	IZH2:GS115_004300-T1	rgb(184,125,157)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	GTS1:GS115_004301-T1	rgb(182,137,160)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MSY1:GS115_004302-T1	rgb(152,177,182)	
Metabolism	Energy Production and Conversion	SDH2:GS115_004303-T1	rgb(246,169,55)	
Information Storage and Processing	Replication, Recombination and Repair	CDC9:GS115_004304-T1	rgb(57,102,137)	
Poorly Characterized	Function Unknown	AOA69212.1:GS115_004305-T1	rgb(10,49,69)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	NTF2:GS115_004306-T1	rgb(98,61,78)	
Metabolism	Carbohydrate Transport and Metabolism	PMI40:GS115_004307-T1	rgb(237,135,15)	
Poorly Characterized	Function Unknown	AOA69048.1:GS115_004308-T1	rgb(20,44,65)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RSM19:GS115_004309-T1	rgb(147,167,176)	
Information Storage and Processing	RNA Processing and Modification	DBP6:GS115_004310-T1	rgb(89,141,171)	
Metabolism	Energy Production and Conversion	ACP1:GS115_004311-T1	rgb(247,172,58)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPS12:GS115_004312-T1	rgb(157,176,183)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	ARC35:GS115_004313-T1	rgb(77,48,73)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	GCD10:GS115_004314-T1	rgb(153,179,182)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MTQ1:GS115_004315-T1	rgb(149,171,177)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RBG2:GS115_004316-T1	rgb(184,125,152)	
Poorly Characterized	Function Unknown	YGR266W:GS115_004317-T1	rgb(13,43,62)	
Metabolism	Carbohydrate Transport and Metabolism	SOL3:GS115_004318-T1	rgb(241,132,13)	
Metabolism	Lipid Transport and Metabolism	PSD2:GS115_004319-T1	rgb(125,48,8)	
Information Storage and Processing	Chromatin Structure and Dynamics	GCN5:GS115_004320-T1	rgb(55,90,107)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PUP2:GS115_004321-T1	rgb(134,84,123)	
Poorly Characterized	Function Unknown	AOA68793.1:GS115_004322-T1	rgb(17,46,57)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SKP1:GS115_004323-T1	rgb(133,75,127)	
Poorly Characterized	Function Unknown	YSP2:GS115_004324-T1	rgb(17,56,60)	
Metabolism	Amino Acid Transport and Metabolism	BNA3:GS115_004325-T1	rgb(248,184,47)	
Information Storage and Processing	Chromatin Structure and Dynamics	DOT1:GS115_004326-T1	rgb(62,84,112)	
Information Storage and Processing	Transcription	SSN2:GS115_004327-T1	rgb(108,174,189)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL39:GS115_004328-T1	rgb(155,179,184)	
Information Storage and Processing	Transcription	SPT5:GS115_004329-T1	rgb(109,168,195)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ERV25:GS115_004330-T1	rgb(102,60,77)	
Poorly Characterized	Function Unknown	RAD33:GS115_004331-T1	rgb(12,52,59)	
Metabolism	Nucleotide Transport and Metabolism	APT1:GS115_004332-T1	rgb(246,203,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SNX41:GS115_004333-T1	rgb(105,57,71)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	DYN2:GS115_004334-T1	rgb(68,48,69)	
Poorly Characterized	Function Unknown	AOA68320.1:GS115_004335-T1	rgb(10,51,64)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	OST6:GS115_004336-T1	rgb(127,80,126)	
Metabolism	Carbohydrate Transport and Metabolism	YML018C:GS115_004337-T1	rgb(232,135,13)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	FPR2:GS115_004338-T1	rgb(122,74,127)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	FPR2:GS115_004338-T2	rgb(125,72,127)	
Information Storage and Processing	Transcription	URC2:GS115_004339-T1	rgb(110,167,197)	
Poorly Characterized	Function Unknown	SPS22:GS115_004340-T1	rgb(19,52,57)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	STE20:GS115_004341-T1	rgb(183,128,158)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP4:GS115_004342-T1	rgb(156,179,177)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SFT1:GS115_004343-T1	rgb(95,64,74)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	CAP1:GS115_004344-T1	rgb(73,57,64)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	HSE1:GS115_004345-T1	rgb(95,57,82)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL36:GS115_004346-T1	rgb(147,166,182)	
Information Storage and Processing	Transcription	TFC1:GS115_004347-T1	rgb(113,171,192)	
Information Storage and Processing	Transcription	BYE1:GS115_004348-T1	rgb(116,178,192)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL14B:GS115_004349-T1	rgb(154,177,181)	
Poorly Characterized	Function Unknown	AOA68935.1:GS115_004350-T1	rgb(19,44,66)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	DID4:GS115_004351-T1	rgb(98,62,73)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP17:GS115_004352-T1	rgb(146,171,173)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP17:GS115_004352-T2	rgb(154,176,176)	
Poorly Characterized	Function Unknown	AOA69420.1:GS115_004353-T1	rgb(14,53,61)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PTC4:GS115_004354-T1	rgb(186,125,152)	
Metabolism	Carbohydrate Transport and Metabolism	TPS1:GS115_004355-T1	rgb(232,133,18)	
Metabolism	Energy Production and Conversion	VMA2:GS115_004356-T1	rgb(251,174,53)	
Poorly Characterized	Function Unknown	AOA69087.1:GS115_004357-T1	rgb(15,55,63)	
Poorly Characterized	Function Unknown	AOA68452.1:GS115_004358-T1	rgb(14,52,61)	
Poorly Characterized	Function Unknown	GS115_004359-T1:GS115_004359-T1	rgb(10,46,65)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	FLO5:GS115_004360-T1	rgb(173,104,157)	
Poorly Characterized	Function Unknown	AOA69734.1:GS115_004361-T1	rgb(18,46,67)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	ADH6:GS115_004362-T1	rgb(190,95,9)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MXR1:GS115_004363-T1	rgb(131,80,120)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MXR2:GS115_004364-T1	rgb(121,81,133)	
Poorly Characterized	Function Unknown	FLO9:GS115_004365-T1	rgb(12,55,56)	
Poorly Characterized	Function Unknown	AOA70062.1:GS115_004366-T1	rgb(23,54,56)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	OPT1:GS115_004367-T1	rgb(183,131,150)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	AOA69946.1:GS115_004368-T1	rgb(194,87,11)	
Metabolism	Carbohydrate Transport and Metabolism	TNA1:GS115_004369-T1	rgb(228,136,23)	
Metabolism	Inorganic Ion Transport and Metabolism	FET4:GS115_004370-T1	rgb(135,51,7)	
Poorly Characterized	Function Unknown	AOA70229.1:GS115_004371-T1	rgb(10,44,58)	
Poorly Characterized	Function Unknown	AOA69724.1:GS115_004372-T1	rgb(12,53,58)	
Metabolism	Carbohydrate Transport and Metabolism	MAL31:GS115_004373-T1	rgb(230,127,24)	
Metabolism	Carbohydrate Transport and Metabolism	AOA70427.1:GS115_004374-T1	rgb(231,133,25)	
Metabolism	Carbohydrate Transport and Metabolism	AOA69586.1:GS115_004375-T1	rgb(239,131,23)	
Poorly Characterized	Function Unknown	AOA69915.1:GS115_004376-T1	rgb(13,48,68)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	FLO1:GS115_004377-T1	rgb(164,111,157)	
Metabolism	Energy Production and Conversion	CYC1:GS115_004378-T1	rgb(249,165,50)	
Metabolism	Amino Acid Transport and Metabolism	SSY1:GS115_004379-T1	rgb(246,183,38)	
Information Storage and Processing	RNA Processing and Modification	ISY1:GS115_004380-T1	rgb(91,149,164)	
Metabolism	Nucleotide Transport and Metabolism	GDA1:GS115_004381-T1	rgb(247,196,67)	
Metabolism	Carbohydrate Transport and Metabolism	UTR1:GS115_004382-T1	rgb(240,129,25)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBP15:GS115_004383-T1	rgb(123,77,124)	
Metabolism	Coenzyme Transport and Metabolism	CAB4:GS115_004384-T1	rgb(254,155,38)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	DAD1:GS115_004385-T1	rgb(120,62,111)	
Information Storage and Processing	Transcription	KCS1:GS115_004386-T1	rgb(107,177,188)	
Poorly Characterized	Function Unknown	AOA69652.1:GS115_004387-T1	rgb(10,54,59)	
Poorly Characterized	Function Unknown	MIX14:GS115_004388-T1	rgb(18,45,62)	
Poorly Characterized	Function Unknown	AOA69611.1:GS115_004389-T1	rgb(11,54,57)	
Information Storage and Processing	Replication, Recombination and Repair	PSF1:GS115_004390-T1	rgb(51,97,136)	
Poorly Characterized	Function Unknown	AOA69455.1:GS115_004391-T1	rgb(14,53,58)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	DBP7:GS115_004392-T1	rgb(151,169,183)	
Information Storage and Processing	Transcription	RPC37:GS115_004393-T1	rgb(117,173,194)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	GCN3:GS115_004394-T1	rgb(148,168,172)	
Poorly Characterized	Function Unknown	GS115_004395-T1:GS115_004395-T1	rgb(22,49,60)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MEF2:GS115_004396-T1	rgb(157,173,179)	
Information Storage and Processing	Replication, Recombination and Repair	RFA2:GS115_004397-T1	rgb(52,94,132)	
Information Storage and Processing	Replication, Recombination and Repair	IRC20:GS115_004398-T1	rgb(51,95,127)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RCK2:GS115_004399-T1	rgb(193,125,149)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RCK2:GS115_004399-T2	rgb(182,130,156)	
Metabolism	Amino Acid Transport and Metabolism	APE4:GS115_004400-T1	rgb(241,175,44)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YEF3:GS115_004401-T1	rgb(151,167,175)	
Metabolism	Lipid Transport and Metabolism	SPO1:GS115_004402-T1	rgb(119,40,9)	
Poorly Characterized	Function Unknown	SSP120:GS115_004403-T1	rgb(15,54,61)	
Poorly Characterized	Function Unknown	AOA69739.1:GS115_004404-T1	rgb(11,47,63)	
Poorly Characterized	Function Unknown	CCA41126.1:GS115_004405-T1	rgb(17,55,56)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL22A:GS115_004406-T1	rgb(149,177,176)	
Poorly Characterized	Function Unknown	AOA70426.1:GS115_004407-T1	rgb(17,54,65)	
Poorly Characterized	Function Unknown	AOA69575.1:GS115_004408-T1	rgb(17,43,60)	
Metabolism	Energy Production and Conversion	ALD4:GS115_004409-T1	rgb(255,171,49)	
Poorly Characterized	Function Unknown	AOA69870.1:GS115_004410-T1	rgb(15,48,69)	
Poorly Characterized	Function Unknown	SCM3:GS115_004411-T1	rgb(10,49,67)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	NCA3:GS115_004412-T1	rgb(167,105,161)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VID24:GS115_004413-T1	rgb(101,60,78)	
Metabolism	Carbohydrate Transport and Metabolism	ACF2:GS115_004414-T1	rgb(234,128,15)	
Metabolism	Energy Production and Conversion	YMC1:GS115_004415-T1	rgb(255,173,56)	
Metabolism	Amino Acid Transport and Metabolism	ARO7:GS115_004416-T1	rgb(240,178,48)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	JID1:GS115_004417-T1	rgb(133,75,128)	
Metabolism	Lipid Transport and Metabolism	AOA69550.1:GS115_004418-T1	rgb(125,48,1)	
Information Storage and Processing	Transcription	NUP120:GS115_004419-T1	rgb(109,169,193)	
Metabolism	Coenzyme Transport and Metabolism	HEM14:GS115_004420-T1	rgb(254,165,30)	
Poorly Characterized	Function Unknown	SCV12432.1:GS115_004421-T1	rgb(14,45,56)	
Cellular Processes and Signaling	Defense Mechanisms	AOA70078.1:GS115_004422-T1	rgb(110,66,122)	
Poorly Characterized	Function Unknown	AOA69896.1:GS115_004423-T1	rgb(18,51,67)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	GNA1:GS115_004424-T1	rgb(164,106,160)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	COG3:GS115_004425-T1	rgb(106,66,84)	
Information Storage and Processing	Transcription	TFB5:GS115_004426-T1	rgb(120,173,186)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VPS41:GS115_004427-T1	rgb(101,62,77)	
Metabolism	Lipid Transport and Metabolism	ERG4:GS115_004428-T1	rgb(114,46,1)	
Poorly Characterized	Function Unknown	AOA69431.1:GS115_004429-T1	rgb(13,53,66)	
Metabolism	Inorganic Ion Transport and Metabolism	THI13:GS115_004430-T1	rgb(130,64,11)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SCL1:GS115_004431-T1	rgb(122,80,126)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RSM22:GS115_004432-T1	rgb(150,175,178)	
Poorly Characterized	Function Unknown	AOA69637.1:GS115_004433-T1	rgb(12,44,57)	
Information Storage and Processing	Chromatin Structure and Dynamics	ASF1:GS115_004434-T1	rgb(62,80,105)	
Poorly Characterized	Function Unknown	BOP3:GS115_004435-T1	rgb(23,53,62)	
Poorly Characterized	Function Unknown	SHQ1:GS115_004436-T1	rgb(21,44,67)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	DPH1:GS115_004437-T1	rgb(147,173,175)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	COG6:GS115_004438-T1	rgb(104,65,71)	
Metabolism	Lipid Transport and Metabolism	YBR287W:GS115_004439-T1	rgb(116,36,1)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEP8:GS115_004440-T1	rgb(101,61,76)	
Poorly Characterized	Function Unknown	AOA70313.1:GS115_004441-T1	rgb(17,50,56)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PSK2:GS115_004442-T1	rgb(188,138,152)	
Poorly Characterized	Function Unknown	AOA69474.1:GS115_004444-T1	rgb(22,48,59)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	EXO84:GS115_004445-T1	rgb(97,63,80)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ATG16:GS115_004446-T1	rgb(103,66,75)	
Poorly Characterized	Function Unknown	AOA70253.1:GS115_004447-T1	rgb(10,47,59)	
Metabolism	Coenzyme Transport and Metabolism	RIB5:GS115_004448-T1	rgb(250,160,30)	
Metabolism	Lipid Transport and Metabolism	SQT1:GS115_004449-T1	rgb(123,41,10)	
Information Storage and Processing	RNA Processing and Modification	PRP46:GS115_004450-T1	rgb(86,144,172)	
Information Storage and Processing	Chromatin Structure and Dynamics	ESA1:GS115_004451-T1	rgb(61,88,107)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RRD2:GS115_004452-T1	rgb(132,71,120)	
Poorly Characterized	Function Unknown	AOA69602.1:GS115_004453-T1	rgb(17,44,60)	
Poorly Characterized	Function Unknown	YMR210W:GS115_004454-T1	rgb(15,50,67)	
Information Storage and Processing	Replication, Recombination and Repair	RAD59:GS115_004455-T1	rgb(55,97,132)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	USO1:GS115_004456-T1	rgb(105,65,78)	
Poorly Characterized	Function Unknown	AOA70085.1:GS115_004457-T1	rgb(23,56,59)	
Poorly Characterized	Function Unknown	TGS1:GS115_004458-T1	rgb(10,49,65)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	KIP2:GS115_004459-T1	rgb(78,59,71)	
Poorly Characterized	Function Unknown	YPQ2:GS115_004460-T1	rgb(15,47,65)	
Information Storage and Processing	Transcription	RLM1:GS115_004461-T1	rgb(114,172,190)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPS6A:GS115_004462-T1	rgb(151,174,176)	
Information Storage and Processing	RNA Processing and Modification	PRP21:GS115_004463-T1	rgb(91,143,163)	
Poorly Characterized	Function Unknown	AOA69916.1:GS115_004464-T1	rgb(23,47,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SEC16:GS115_004465-T1	rgb(97,56,75)	
Information Storage and Processing	Transcription	ELP3:GS115_004466-T1	rgb(109,171,189)	
Poorly Characterized	Function Unknown	AOA69615.1:GS115_004467-T1	rgb(13,45,60)	
Information Storage and Processing	Transcription	EPL1:GS115_004468-T1	rgb(113,177,196)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MSD1:GS115_004469-T1	rgb(157,168,175)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	CAM1:GS115_004470-T1	rgb(151,178,184)	
Metabolism	Carbohydrate Transport and Metabolism	MNN9:GS115_004471-T1	rgb(236,129,22)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	LEE1:GS115_004472-T1	rgb(125,79,133)	
Poorly Characterized	Function Unknown	NOG1:GS115_004473-T1	rgb(13,49,67)	
Poorly Characterized	Function Unknown	XP_002493511.1:GS115_004474-T1	rgb(11,53,69)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL2B:GS115_004475-T1	rgb(151,173,179)	
Metabolism	Carbohydrate Transport and Metabolism	AOA70098.1:GS115_004476-T1	rgb(240,133,14)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	SMC2:GS115_004477-T1	rgb(130,73,114)	
Poorly Characterized	Function Unknown	GS115_004478-T1:GS115_004478-T1	rgb(19,47,61)	
Poorly Characterized	Function Unknown	GS115_004479-T1:GS115_004479-T1	rgb(17,44,61)	
Metabolism	Amino Acid Transport and Metabolism	MUP3:GS115_004480-T1	rgb(240,180,38)	
Metabolism	Amino Acid Transport and Metabolism	GLY1:GS115_004481-T1	rgb(240,183,49)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	TMA108:GS115_004482-T1	rgb(131,73,130)	
Poorly Characterized	Function Unknown	AOA70286.1:GS115_004483-T1	rgb(17,48,62)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	TPM1:GS115_004484-T1	rgb(77,58,72)	
Poorly Characterized	Function Unknown	EOS1:GS115_004485-T1	rgb(11,46,66)	
Information Storage and Processing	Transcription	RRT14:GS115_004486-T1	rgb(114,175,197)	
Information Storage and Processing	Replication, Recombination and Repair	MET18:GS115_004487-T1	rgb(47,106,138)	
Poorly Characterized	Function Unknown	TAO3:GS115_004488-T1	rgb(21,49,61)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	END3:GS115_004489-T1	rgb(76,48,68)	
Metabolism	Energy Production and Conversion	AOA69884.1:GS115_004490-T1	rgb(254,174,51)	
